pdb_path	finalscore	n_events	error
Cluster_0_muOR_6QZH_0059_2.pdb	6.0	9	
Cluster_0_muOR_6QZH_0063_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0063.pdb	5.5	8	
Cluster_0_muOR_6QZH_0066.pdb	5.5	8	
Cluster_0_muOR_6QZH_0066_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0065.pdb	5.0	7	
Cluster_0_muOR_6QZH_0065_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0070.pdb	7.0	9	
Cluster_0_muOR_6QZH_0070_2.pdb	7.0	9	
Cluster_0_muOR_6QZH_0073.pdb	4.0	5	
Cluster_0_muOR_6QZH_0076.pdb	5.0	6	
Cluster_0_muOR_6QZH_0078.pdb	5.5	6	
Cluster_0_muOR_6QZH_0078_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0076_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0077.pdb	5.0	7	
Cluster_0_muOR_6QZH_0079.pdb	3.5	6	
Cluster_0_muOR_6QZH_0079_2.pdb	3.5	6	
Cluster_0_muOR_6QZH_0082.pdb	4.5	6	
Cluster_0_muOR_6QZH_0079_3.pdb	3.5	6	
Cluster_0_muOR_6QZH_0082_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0088.pdb	7.0	8	
Cluster_0_muOR_6QZH_0088_2.pdb	7.0	8	
Cluster_0_muOR_6QZH_0088_3.pdb	7.0	8	
Cluster_0_muOR_6QZH_0091.pdb	6.5	11	
Cluster_0_muOR_6QZH_0091_2.pdb	6.5	11	
Cluster_0_muOR_6QZH_0094_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0095.pdb	5.5	7	
Cluster_0_muOR_6QZH_0094.pdb	5.0	6	
Cluster_0_muOR_6QZH_0095_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0097.pdb	5.5	8	
Cluster_0_muOR_6QZH_0097_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0100.pdb	5.0	7	
Cluster_0_muOR_6QZH_0100_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0101.pdb	7.5	10	
Cluster_0_muOR_6QZH_0101_2.pdb	7.5	10	
Cluster_0_muOR_6QZH_0102.pdb	6.5	10	
Cluster_0_muOR_6QZH_0102_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0103.pdb	5.0	7	
Cluster_0_muOR_6QZH_0103_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0104.pdb	6.5	9	
Cluster_0_muOR_6QZH_0104_2.pdb	6.5	9	
Cluster_0_muOR_6QZH_0105.pdb	5.5	6	
Cluster_0_muOR_6QZH_0105_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0106.pdb	6.5	10	
Cluster_0_muOR_6QZH_0106_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0106_3.pdb	6.5	10	
Cluster_0_muOR_6QZH_0107.pdb	7.5	9	
Cluster_0_muOR_6QZH_0107_2.pdb	7.5	9	
Cluster_0_muOR_6QZH_0108.pdb	5.5	8	
Cluster_0_muOR_6QZH_0108_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0111_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0111.pdb	4.5	5	
Cluster_0_muOR_6QZH_0114.pdb	5.5	10	
Cluster_0_muOR_6QZH_0113.pdb	6.0	10	
Cluster_0_muOR_6QZH_0115_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0115.pdb	5.5	6	
Cluster_0_muOR_6QZH_0114_2.pdb	5.5	10	
Cluster_0_muOR_6QZH_0118.pdb	5.0	8	
Cluster_0_muOR_6QZH_0122.pdb	4.5	6	
Cluster_0_muOR_6QZH_0118_2.pdb	5.0	8	
Cluster_0_muOR_6QZH_0125.pdb	5.0	5	
Cluster_0_muOR_6QZH_0122_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0125_2.pdb	5.0	5	
Cluster_0_muOR_6QZH_0135.pdb	7.5	11	
Cluster_0_muOR_6QZH_0133.pdb	8.0	12	
Cluster_0_muOR_6QZH_0135_2.pdb	7.5	11	
Cluster_0_muOR_6QZH_0135_3.pdb	7.5	11	
Cluster_0_muOR_6QZH_0136.pdb	5.0	7	
Cluster_0_muOR_6QZH_0137.pdb	7.0	8	
Cluster_0_muOR_6QZH_0136_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0137_2.pdb	7.0	8	
Cluster_0_muOR_6QZH_0138.pdb	7.0	9	
Cluster_0_muOR_6QZH_0140.pdb	7.5	11	
Cluster_0_muOR_6QZH_0140_3.pdb	7.5	11	
Cluster_0_muOR_6QZH_0143.pdb	5.0	6	
Cluster_0_muOR_6QZH_0144.pdb	5.0	8	
Cluster_0_muOR_6QZH_0143_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0140_2.pdb	7.5	11	
Cluster_0_muOR_6QZH_0144_2.pdb	5.0	8	
Cluster_0_muOR_6QZH_0145.pdb	4.5	6	
Cluster_0_muOR_6QZH_0145_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0157.pdb	6.0	9	
Cluster_0_muOR_6QZH_0150.pdb	5.0	7	
Cluster_0_muOR_6QZH_0150_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0155_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0155.pdb	4.0	5	
Cluster_0_muOR_6QZH_0159.pdb	6.5	10	
Cluster_0_muOR_6QZH_0161.pdb	6.0	8	
Cluster_0_muOR_6QZH_0159_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0161_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0164.pdb	5.5	7	
Cluster_0_muOR_6QZH_0164_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0165.pdb	4.5	6	
Cluster_0_muOR_6QZH_0165_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0166.pdb	3.5	6	
Cluster_0_muOR_6QZH_0169.pdb	6.0	7	
Cluster_0_muOR_6QZH_0169_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0171_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0174.pdb	7.0	10	
Cluster_0_muOR_6QZH_0174_2.pdb	7.0	10	
Cluster_0_muOR_6QZH_0171.pdb	5.5	6	
Cluster_0_muOR_6QZH_0175.pdb	4.5	9	
Cluster_0_muOR_6QZH_0175_2.pdb	4.5	9	
Cluster_0_muOR_6QZH_0176.pdb	4.5	5	
Cluster_0_muOR_6QZH_0176_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0195_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0187.pdb	6.5	8	
Cluster_0_muOR_6QZH_0195.pdb	5.0	7	
Cluster_0_muOR_6QZH_0187_2.pdb	6.5	8	
Cluster_0_muOR_6QZH_0204.pdb	4.5	5	
Cluster_0_muOR_6QZH_0212.pdb	6.0	8	
Cluster_0_muOR_6QZH_0208.pdb	6.5	8	
Cluster_0_muOR_6QZH_0204_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0213.pdb	3.0	4	
Cluster_0_muOR_6QZH_0213_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0215.pdb	7.0	8	
Cluster_0_muOR_6QZH_0215_2.pdb	7.0	8	
Cluster_0_muOR_6QZH_0216.pdb	6.0	8	
Cluster_0_muOR_6QZH_0216_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0219.pdb	5.5	7	
Cluster_0_muOR_6QZH_0219_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0221_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0221.pdb	5.0	7	
Cluster_0_muOR_6QZH_0222.pdb	4.5	5	
Cluster_0_muOR_6QZH_0222_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0228_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0228.pdb	3.0	4	
Cluster_0_muOR_6QZH_0223.pdb	7.5	11	
Cluster_0_muOR_6QZH_0223_2.pdb	7.5	11	
Cluster_0_muOR_6QZH_0231_2.pdb	6.5	9	
Cluster_0_muOR_6QZH_0231.pdb	6.5	9	
Cluster_0_muOR_6QZH_0232.pdb	7.0	10	
Cluster_0_muOR_6QZH_0232_2.pdb	7.0	10	
Cluster_0_muOR_6QZH_0233_2.pdb	3.0	5	
Cluster_0_muOR_6QZH_0233.pdb	3.0	5	
Cluster_0_muOR_6QZH_0235.pdb	4.0	6	
Cluster_0_muOR_6QZH_0236.pdb	6.0	9	
Cluster_0_muOR_6QZH_0240.pdb	6.5	8	
Cluster_0_muOR_6QZH_0243.pdb	4.5	6	
Cluster_0_muOR_6QZH_0244.pdb	6.0	7	
Cluster_0_muOR_6QZH_0247.pdb	5.5	6	
Cluster_0_muOR_6QZH_0247_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0249.pdb	7.5	10	
Cluster_0_muOR_6QZH_0251.pdb	6.0	7	
Cluster_0_muOR_6QZH_0251_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0252_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0252.pdb	5.0	7	
Cluster_0_muOR_6QZH_0254.pdb	6.0	7	
Cluster_0_muOR_6QZH_0254_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0256.pdb	7.5	10	
Cluster_0_muOR_6QZH_0256_2.pdb	7.5	10	
Cluster_0_muOR_6QZH_0257.pdb	6.0	7	
Cluster_0_muOR_6QZH_0257_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0258_2.pdb	4.5	7	
Cluster_0_muOR_6QZH_0258.pdb	4.5	7	
Cluster_0_muOR_6QZH_0258_3.pdb	4.5	7	
Cluster_0_muOR_6QZH_0263.pdb	5.5	8	
Cluster_0_muOR_6QZH_0263_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0264.pdb	5.5	6	
Cluster_0_muOR_6QZH_0264_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0271.pdb	7.5	10	
Cluster_0_muOR_6QZH_0271_2.pdb	7.5	10	
Cluster_0_muOR_6QZH_0271_3.pdb	7.5	10	
Cluster_0_muOR_6QZH_0272.pdb	7.0	10	
Cluster_0_muOR_6QZH_0273.pdb	5.0	8	
Cluster_0_muOR_6QZH_0276.pdb	6.0	7	
Cluster_0_muOR_6QZH_0272_2.pdb	7.0	10	
Cluster_0_muOR_6QZH_0276_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0277.pdb	4.0	4	
Cluster_0_muOR_6QZH_0277_2.pdb	4.0	4	
Cluster_0_muOR_6QZH_0281.pdb	6.0	9	
Cluster_0_muOR_6QZH_0281_2.pdb	6.0	9	
Cluster_0_muOR_6QZH_0281_3.pdb	6.0	9	
Cluster_0_muOR_6QZH_0285.pdb	7.0	9	
Cluster_0_muOR_6QZH_0285_2.pdb	7.0	9	
Cluster_0_muOR_6QZH_0291.pdb	6.0	7	
Cluster_0_muOR_6QZH_0291_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0294.pdb	5.0	6	
Cluster_0_muOR_6QZH_0294_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0296_2.pdb	6.0	6	
Cluster_0_muOR_6QZH_0296.pdb	6.0	6	
Cluster_0_muOR_6QZH_0297.pdb	4.5	6	
Cluster_0_muOR_6QZH_0297_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0299.pdb	5.5	11	
Cluster_0_muOR_6QZH_0299_2.pdb	5.5	11	
Cluster_0_muOR_6QZH_0299_3.pdb	5.5	11	
Cluster_0_muOR_6QZH_0300.pdb	6.5	9	
Cluster_0_muOR_6QZH_0302_2.pdb	5.0	5	
Cluster_0_muOR_6QZH_0302.pdb	5.0	5	
Cluster_0_muOR_6QZH_0306.pdb	7.0	10	
Cluster_0_muOR_6QZH_0304.pdb	8.0	13	
Cluster_0_muOR_6QZH_0309.pdb	2.5	3	
Cluster_0_muOR_6QZH_0306_2.pdb	7.0	10	
Cluster_0_muOR_6QZH_0309_2.pdb	2.5	3	
Cluster_0_muOR_6QZH_0308.pdb	5.0	6	
Cluster_0_muOR_6QZH_0310.pdb	3.5	5	
Cluster_0_muOR_6QZH_0310_2.pdb	3.5	5	
Cluster_0_muOR_6QZH_0317.pdb	6.0	8	
Cluster_0_muOR_6QZH_0316.pdb	8.0	12	
Cluster_0_muOR_6QZH_0325.pdb	4.0	6	
Cluster_0_muOR_6QZH_0325_2.pdb	4.0	6	
Cluster_0_muOR_6QZH_0328.pdb	6.0	8	
Cluster_0_muOR_6QZH_0317_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0328_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0329.pdb	6.0	7	
Cluster_0_muOR_6QZH_0329_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0338_2.pdb	6.5	9	
Cluster_0_muOR_6QZH_0338.pdb	6.5	9	
Cluster_0_muOR_6QZH_0348.pdb	5.0	6	
Cluster_0_muOR_6QZH_0348_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0346.pdb	7.0	8	
Cluster_0_muOR_6QZH_0354.pdb	6.5	10	
Cluster_0_muOR_6QZH_0354_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0355.pdb	3.0	4	
Cluster_0_muOR_6QZH_0355_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0366.pdb	5.0	6	
Cluster_0_muOR_6QZH_0356.pdb	4.5	6	
Cluster_0_muOR_6QZH_0362_2.pdb	7.5	10	
Cluster_0_muOR_6QZH_0362.pdb	7.5	10	
Cluster_0_muOR_6QZH_0366_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0367.pdb	5.5	7	
Cluster_0_muOR_6QZH_0371.pdb	3.0	4	
Cluster_0_muOR_6QZH_0371_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0370.pdb	5.0	7	
Cluster_0_muOR_6QZH_0370_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0374_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0374.pdb	5.5	7	
Cluster_0_muOR_6QZH_0376.pdb	6.5	10	
Cluster_0_muOR_6QZH_0376_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0377_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0377.pdb	5.0	6	
Cluster_0_muOR_6QZH_0378.pdb	7.0	10	
Cluster_0_muOR_6QZH_0379.pdb	5.5	7	
Cluster_0_muOR_6QZH_0381.pdb	4.0	4	
Cluster_0_muOR_6QZH_0381_2.pdb	4.0	4	
Cluster_0_muOR_6QZH_0383.pdb	6.0	6	
Cluster_0_muOR_6QZH_0386.pdb	6.0	8	
Cluster_0_muOR_6QZH_0387.pdb	4.5	6	
Cluster_0_muOR_6QZH_0392.pdb	6.5	10	
Cluster_0_muOR_6QZH_0394.pdb	6.0	7	
Cluster_0_muOR_6QZH_0392_2.pdb	6.5	10	
Cluster_0_muOR_6QZH_0397_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0397.pdb	5.0	6	
Cluster_0_muOR_6QZH_0407.pdb	4.0	7	
Cluster_0_muOR_6QZH_0407_2.pdb	4.0	7	
Cluster_0_muOR_6QZH_0409.pdb	5.0	6	
Cluster_0_muOR_6QZH_0409_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0412.pdb	7.0	11	
Cluster_0_muOR_6QZH_0412_2.pdb	7.0	11	
Cluster_0_muOR_6QZH_0414_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0414.pdb	5.0	7	
Cluster_0_muOR_6QZH_0418.pdb	5.0	6	
Cluster_0_muOR_6QZH_0418_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0426.pdb	3.0	4	
Cluster_0_muOR_6QZH_0424.pdb	5.0	7	
Cluster_0_muOR_6QZH_0426_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0430.pdb	6.5	9	
Cluster_0_muOR_6QZH_0430_2.pdb	6.5	9	
Cluster_0_muOR_6QZH_0431.pdb	9.0	15	
Cluster_0_muOR_6QZH_0437_2.pdb	5.5	7	
Cluster_0_muOR_6QZH_0431_2.pdb	9.0	15	
Cluster_0_muOR_6QZH_0437.pdb	5.5	7	
Cluster_0_muOR_6QZH_0439.pdb	5.0	7	
Cluster_0_muOR_6QZH_0439_2.pdb	5.0	7	
Cluster_0_muOR_6QZH_0440.pdb	6.0	8	
Cluster_0_muOR_6QZH_0440_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0444.pdb	4.5	5	
Cluster_0_muOR_6QZH_0449.pdb	4.5	6	
Cluster_0_muOR_6QZH_0444_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0453.pdb	4.0	5	
Cluster_0_muOR_6QZH_0451.pdb	8.5	12	
Cluster_0_muOR_6QZH_0453_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0454.pdb	6.0	7	
Cluster_0_muOR_6QZH_0454_2.pdb	6.0	7	
Cluster_0_muOR_6QZH_0461_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0471.pdb	4.5	5	
Cluster_0_muOR_6QZH_0461.pdb	4.5	6	
Cluster_0_muOR_6QZH_0471_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0473.pdb	5.0	6	
Cluster_0_muOR_6QZH_0468.pdb	10.5	17	
Cluster_0_muOR_6QZH_0473_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0481.pdb	6.5	8	
Cluster_0_muOR_6QZH_0483.pdb	4.0	5	
Cluster_0_muOR_6QZH_0484_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0484.pdb	3.0	4	
Cluster_0_muOR_6QZH_0490.pdb	4.0	6	
Cluster_0_muOR_6QZH_0489.pdb	5.5	8	
Cluster_0_muOR_6QZH_0489_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0495.pdb	3.0	4	
Cluster_0_muOR_6QZH_0493_2.pdb	5.0	5	
Cluster_0_muOR_6QZH_0495_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0493.pdb	5.0	5	
Cluster_0_muOR_6QZH_0490_2.pdb	4.0	6	
Cluster_0_muOR_6QZH_0496.pdb	6.5	8	
Cluster_0_muOR_6QZH_0496_2.pdb	6.5	8	
Cluster_0_muOR_6QZH_0501.pdb	7.5	9	
Cluster_0_muOR_6QZH_0502.pdb	7.0	8	
Cluster_0_muOR_6QZH_0502_2.pdb	7.0	8	
Cluster_0_muOR_6QZH_0502_3.pdb	7.0	8	
Cluster_0_muOR_6QZH_0501_2.pdb	7.5	9	
Cluster_0_muOR_6QZH_0503.pdb	7.5	11	
Cluster_0_muOR_6QZH_0513_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0513.pdb	4.5	6	
Cluster_0_muOR_6QZH_0515.pdb	4.5	6	
Cluster_0_muOR_6QZH_0515_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0518_2.pdb	4.5	7	
Cluster_0_muOR_6QZH_0519_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0518.pdb	4.5	7	
Cluster_0_muOR_6QZH_0519.pdb	6.0	8	
Cluster_0_muOR_6QZH_0523.pdb	6.0	8	
Cluster_0_muOR_6QZH_0521.pdb	6.5	7	
Cluster_0_muOR_6QZH_0524.pdb	4.5	6	
Cluster_0_muOR_6QZH_0524_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0526.pdb	4.5	5	
Cluster_0_muOR_6QZH_0525.pdb	6.0	8	
Cluster_0_muOR_6QZH_0526_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0525_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0528.pdb	6.0	9	
Cluster_0_muOR_6QZH_0529.pdb	5.0	6	
Cluster_0_muOR_6QZH_0528_2.pdb	6.0	9	
Cluster_0_muOR_6QZH_0529_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0532.pdb	4.0	6	
Cluster_0_muOR_6QZH_0530_2.pdb	4.5	6	
Cluster_0_muOR_6QZH_0530.pdb	4.5	6	
Cluster_0_muOR_6QZH_0532_2.pdb	4.0	6	
Cluster_0_muOR_6QZH_0538.pdb	3.5	5	
Cluster_0_muOR_6QZH_0538_2.pdb	3.5	5	
Cluster_0_muOR_6QZH_0534.pdb	8.0	12	
Cluster_0_muOR_6QZH_0534_2.pdb	8.0	12	
Cluster_0_muOR_6QZH_0546.pdb	3.5	4	
Cluster_0_muOR_6QZH_0543.pdb	7.5	9	
Cluster_0_muOR_6QZH_0541.pdb	5.0	6	
Cluster_0_muOR_6QZH_0546_2.pdb	3.5	4	
Cluster_0_muOR_6QZH_0549.pdb	2.5	3	
Cluster_0_muOR_6QZH_0549_2.pdb	2.5	3	
Cluster_0_muOR_6QZH_0552_2.pdb	6.5	8	
Cluster_0_muOR_6QZH_0552.pdb	6.5	8	
Cluster_0_muOR_6QZH_0563.pdb	4.0	5	
Cluster_0_muOR_6QZH_0563_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0560.pdb	4.5	6	
Cluster_0_muOR_6QZH_0565.pdb	7.0	8	
Cluster_0_muOR_6QZH_0565_2.pdb	7.0	8	
Cluster_0_muOR_6QZH_0566.pdb	4.5	5	
Cluster_0_muOR_6QZH_0569.pdb	4.5	6	
Cluster_0_muOR_6QZH_0566_2.pdb	4.5	5	
Cluster_0_muOR_6QZH_0573_2.pdb	5.5	6	
Cluster_0_muOR_6QZH_0574.pdb	8.5	11	
Cluster_0_muOR_6QZH_0573.pdb	5.5	6	
Cluster_0_muOR_6QZH_0577.pdb	6.0	8	
Cluster_0_muOR_6QZH_0574_2.pdb	8.5	11	
Cluster_0_muOR_6QZH_0577_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0582.pdb	4.0	5	
Cluster_0_muOR_6QZH_0582_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0583_2.pdb	5.0	6	
Cluster_0_muOR_6QZH_0583.pdb	5.0	6	
Cluster_0_muOR_6QZH_0586.pdb	5.0	6	
Cluster_0_muOR_6QZH_0585.pdb	6.0	10	
Cluster_0_muOR_6QZH_0585_2.pdb	6.0	10	
Cluster_0_muOR_6QZH_0590.pdb	7.0	9	
Cluster_0_muOR_6QZH_0592_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0592.pdb	5.5	8	
Cluster_0_muOR_6QZH_0595_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0595.pdb	6.0	8	
Cluster_0_muOR_6QZH_0598.pdb	5.5	8	
Cluster_0_muOR_6QZH_0597.pdb	5.0	6	
Cluster_0_muOR_6QZH_0598_2.pdb	5.5	8	
Cluster_0_muOR_6QZH_0609.pdb	4.0	5	
Cluster_0_muOR_6QZH_0608.pdb	8.0	11	
Cluster_0_muOR_6QZH_0614.pdb	3.0	4	
Cluster_0_muOR_6QZH_0609_2.pdb	4.0	5	
Cluster_0_muOR_6QZH_0608_2.pdb	8.0	11	
Cluster_0_muOR_6QZH_0614_2.pdb	3.0	4	
Cluster_0_muOR_6QZH_0614_3.pdb	3.0	4	
Cluster_0_muOR_6QZH_0615.pdb	6.0	8	
Cluster_0_muOR_6QZH_0616.pdb	5.5	7	
Cluster_0_muOR_6QZH_0615_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0618.pdb	6.5	8	
Cluster_0_muOR_6QZH_0624.pdb	6.0	8	
Cluster_0_muOR_6QZH_0624_2.pdb	6.0	8	
Cluster_0_muOR_6QZH_0627.pdb	8.0	10	
Cluster_0_muOR_6QZH_0621.pdb	5.0	7	
Cluster_0_muOR_6QZH_0630.pdb	6.0	7	
Cluster_0_muOR_6QZH_0639.pdb	3.0	4	
Cluster_0_muOR_6QZH_0636.pdb	6.0	7	
Cluster_0_muOR_6QZH_0649.pdb	5.5	6	
Cluster_0_muOR_6QZH_0648.pdb	5.0	6	
Cluster_0_muOR_6QZH_0650.pdb	6.0	11	
Cluster_0_muOR_6QZH_0653.pdb	6.5	9	
Cluster_0_muOR_6QZH_0659.pdb	7.5	12	
Cluster_0_muOR_6QZH_0663.pdb	5.0	9	
Cluster_0_muOR_6QZH_0665.pdb	6.0	8	
Cluster_0_muOR_6QZH_0672.pdb	5.5	7	
Cluster_0_muOR_6QZH_0678.pdb	7.0	9	
Cluster_0_muOR_6QZH_0674.pdb	6.0	8	
Cluster_0_muOR_6QZH_0684.pdb	3.5	5	
Cluster_0_muOR_6QZH_0679.pdb	5.0	6	
