basename	pdb_path	dG_separated	sc_value	Holes	pack_stat	dSASA_int	delta_unsatHbonds	packing_finalscore	packing_n_events	packing_status	packing_error	rosetta_parse_note
Cluster_1_muOR_6QZH_0451.pdb	Cluster_1_muOR_6QZH_0451.pdb	-65.5921	0.650585	1.03455	0.437614	2425.83	4	8.5	12	ok		
Cluster_1_muOR_6QZH_0697.pdb	Cluster_1_muOR_6QZH_0697.pdb	-63.6337	0.673375	1.01172	0.42054	2272.01	4	8.5	14	ok		
Cluster_1_muOR_6QZH_0729.pdb	Cluster_1_muOR_6QZH_0729.pdb	-62.4895	0.668754	0.918688	0.515517	2248.27	6	8.5	13	ok		
Cluster_1_muOR_6QZH_0798.pdb	Cluster_1_muOR_6QZH_0798.pdb	-57.9154	0.646916	0.91623	0.490599	2381	3	8.5	12	ok		
Cluster_2_muOR_6QZH_0192.pdb	Cluster_2_muOR_6QZH_0192.pdb	-65.6644	0.670644	0.966421	0.502752	2453.83	2	8.5	12	ok		
Cluster_2_muOR_6QZH_0451.pdb	Cluster_2_muOR_6QZH_0451.pdb	-65.5921	0.650585	1.03455	0.437614	2425.83	4	8.5	12	ok		
Cluster_2_muOR_6QZH_0686.pdb	Cluster_2_muOR_6QZH_0686.pdb	-69.7663	0.668575	0.873712	0.531175	2424.1	4	8.5	11	ok		
Cluster_2_muOR_6QZH_0736.pdb	Cluster_2_muOR_6QZH_0736.pdb	-62.5906	0.622789	1.1132	0.524442	2336.93	2	8.5	15	ok		
Cluster_3_muOR_6QZH_0192.pdb	Cluster_3_muOR_6QZH_0192.pdb	-65.6644	0.670644	0.966421	0.502752	2453.83	2	8.5	12	ok		
Cluster_3_muOR_6QZH_0625.pdb	Cluster_3_muOR_6QZH_0625.pdb	-64.5972	0.672737	0.931772	0.424122	2401.26	6	8.5	12	ok		
Cluster_3_muOR_6QZH_0686.pdb	Cluster_3_muOR_6QZH_0686.pdb	-69.7663	0.668575	0.873712	0.531175	2424.1	4	8.5	11	ok		
Cluster_7_muOR_6QZH_0319.pdb	Cluster_7_muOR_6QZH_0319.pdb	-68.3938	0.631973	0.918218	0.476207	2316.53	3	8.5	12	ok		
Cluster_7_muOR_6QZH_0729.pdb	Cluster_7_muOR_6QZH_0729.pdb	-62.4895	0.668754	0.918688	0.515517	2248.27	6	8.5	13	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0192.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0192.pdb	-65.6644	0.670644	0.966421	0.502752	2453.83	2	8.5	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0574.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0574.pdb	-58.0747	0.583131	0.955695	0.451027	2399.61	5	8.5	11	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0625.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0625.pdb	-64.5972	0.672737	0.931772	0.424122	2401.26	6	8.5	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0736.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0736.pdb	-62.5906	0.622789	1.1132	0.524442	2336.93	2	8.5	15	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0908.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0908.pdb	-65.5804	0.679417	0.932951	0.51801	2397.53	7	8.5	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0943.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0943.pdb	-60.7924	0.575453	0.959751	0.460682	2387.1	6	8.5	11	ok		
res2_2_muOR_6QZH_0671.pdb	res2_2_muOR_6QZH_0671.pdb	-59.055	0.544896	1.23634	0.424402	2202.11	2	8.5	11	ok		
res2_3_muOR_6QZH_0671.pdb	res2_3_muOR_6QZH_0671.pdb	-59.055	0.544896	1.23634	0.424402	2202.11	2	8.5	11	ok		
top_muOR_6QZH_0182.pdb	top_muOR_6QZH_0182.pdb	-66.1926	0.666386	0.851952	0.463106	2382.02	2	8.5	13	ok		
top_muOR_6QZH_0319.pdb	top_muOR_6QZH_0319.pdb	-68.3938	0.631973	0.918218	0.476207	2316.53	3	8.5	12	ok		
top_muOR_6QZH_0686.pdb	top_muOR_6QZH_0686.pdb	-69.7663	0.668575	0.873712	0.531175	2424.1	4	8.5	11	ok		
top_muOR_6QZH_0798.pdb	top_muOR_6QZH_0798.pdb	-57.9154	0.646916	0.91623	0.490599	2381	3	8.5	12	ok		
Cluster_0_muOR_6QZH_0050.pdb	Cluster_0_muOR_6QZH_0050.pdb	-59.9304	0.573505	0.99502	0.438453	2384.97	5	8.0	11	ok		
Cluster_0_muOR_6QZH_0050_2.pdb	Cluster_0_muOR_6QZH_0050_2.pdb	-59.9304	0.573505	0.99502	0.438453	2384.97	5	8.0	11	ok		
Cluster_0_muOR_6QZH_0133.pdb	Cluster_0_muOR_6QZH_0133.pdb	-63.7497	0.602181	1.06135	0.440147	2366.49	2	8.0	12	ok		
Cluster_0_muOR_6QZH_0304.pdb	Cluster_0_muOR_6QZH_0304.pdb	-69.0897	0.646436	1.02867	0.468353	2321.75	3	8.0	13	ok		
Cluster_0_muOR_6QZH_0316.pdb	Cluster_0_muOR_6QZH_0316.pdb	-63.7647	0.651462	0.951101	0.477713	2340.78	2	8.0	12	ok		
Cluster_0_muOR_6QZH_0534.pdb	Cluster_0_muOR_6QZH_0534.pdb	-62.5724	0.691977	0.977206	0.515828	2339.52	6	8.0	12	ok		
Cluster_0_muOR_6QZH_0534_2.pdb	Cluster_0_muOR_6QZH_0534_2.pdb	-62.5724	0.691977	0.977206	0.515828	2339.52	6	8.0	12	ok		
Cluster_0_muOR_6QZH_0608.pdb	Cluster_0_muOR_6QZH_0608.pdb	-62.1694	0.641602	0.905524	0.457936	2388	3	8.0	11	ok		
Cluster_0_muOR_6QZH_0608_2.pdb	Cluster_0_muOR_6QZH_0608_2.pdb	-62.1694	0.641602	0.905524	0.457936	2388	3	8.0	11	ok		
Cluster_0_muOR_6QZH_0627.pdb	Cluster_0_muOR_6QZH_0627.pdb	-59.4479	0.540902	1.02431	0.42779	2413	4	8.0	10	ok		
Cluster_0_muOR_6QZH_0713.pdb	Cluster_0_muOR_6QZH_0713.pdb	-63.0519	0.582899	1.21061	0.479859	2275.07	2	8.0	11	ok		
Cluster_0_muOR_6QZH_0713_2.pdb	Cluster_0_muOR_6QZH_0713_2.pdb	-63.0519	0.582899	1.21061	0.479859	2275.07	2	8.0	11	ok		
Cluster_0_muOR_6QZH_0714.pdb	Cluster_0_muOR_6QZH_0714.pdb	-64.6939	0.558007	1.09478	0.446925	2346.87	0	8.0	12	ok		
Cluster_0_muOR_6QZH_0742.pdb	Cluster_0_muOR_6QZH_0742.pdb	-61.4545	0.625478	0.965422	0.484559	2365.94	2	8.0	11	ok		
Cluster_0_muOR_6QZH_0935.pdb	Cluster_0_muOR_6QZH_0935.pdb	-69.985	0.658012	0.872194	0.473578	2355.93	3	8.0	12	ok		
Cluster_1_muOR_6QZH_0050.pdb	Cluster_1_muOR_6QZH_0050.pdb	-59.9304	0.573505	0.99502	0.438453	2384.97	5	8.0	11	ok		
Cluster_1_muOR_6QZH_0099.pdb	Cluster_1_muOR_6QZH_0099.pdb	-63.3331	0.675052	1.01704	0.481541	2319.33	1	8.0	12	ok		
Cluster_1_muOR_6QZH_0133.pdb	Cluster_1_muOR_6QZH_0133.pdb	-63.7497	0.602181	1.06135	0.440147	2366.49	2	8.0	12	ok		
Cluster_1_muOR_6QZH_0225.pdb	Cluster_1_muOR_6QZH_0225.pdb	-65.2238	0.64778	0.898009	0.47167	2333.33	5	8.0	11	ok		
Cluster_1_muOR_6QZH_0225_2.pdb	Cluster_1_muOR_6QZH_0225_2.pdb	-65.2238	0.64778	0.898009	0.47167	2333.33	5	8.0	11	ok		
Cluster_1_muOR_6QZH_0304.pdb	Cluster_1_muOR_6QZH_0304.pdb	-69.0897	0.646436	1.02867	0.468353	2321.75	3	8.0	13	ok		
Cluster_1_muOR_6QZH_0316.pdb	Cluster_1_muOR_6QZH_0316.pdb	-63.7647	0.651462	0.951101	0.477713	2340.78	2	8.0	12	ok		
Cluster_1_muOR_6QZH_0316_2.pdb	Cluster_1_muOR_6QZH_0316_2.pdb	-63.7647	0.651462	0.951101	0.477713	2340.78	2	8.0	12	ok		
Cluster_2_muOR_6QZH_0083.pdb	Cluster_2_muOR_6QZH_0083.pdb	-64.4556	0.599877	1.05416	0.437268	2271.39	4	8.0	11	ok		
Cluster_2_muOR_6QZH_0304.pdb	Cluster_2_muOR_6QZH_0304.pdb	-69.0897	0.646436	1.02867	0.468353	2321.75	3	8.0	13	ok		
Cluster_2_muOR_6QZH_0458.pdb	Cluster_2_muOR_6QZH_0458.pdb	-68.5063	0.691881	0.84623	0.5161	2362.74	3	8.0	12	ok		
Cluster_2_muOR_6QZH_0458_2.pdb	Cluster_2_muOR_6QZH_0458_2.pdb	-68.5063	0.691881	0.84623	0.5161	2362.74	3	8.0	12	ok		
Cluster_2_muOR_6QZH_0768.pdb	Cluster_2_muOR_6QZH_0768.pdb	-53.1165	0.582779	1.10915	0.470802	2288.1	1	8.0	9	ok		
Cluster_3_muOR_6QZH_0458.pdb	Cluster_3_muOR_6QZH_0458.pdb	-68.5063	0.691881	0.84623	0.5161	2362.74	3	8.0	12	ok		
Cluster_3_muOR_6QZH_0714.pdb	Cluster_3_muOR_6QZH_0714.pdb	-64.6939	0.558007	1.09478	0.446925	2346.87	0	8.0	12	ok		
Cluster_4_muOR_6QZH_0476.pdb	Cluster_4_muOR_6QZH_0476.pdb	-58.3778	0.649184	1.14478	0.474622	2252.5	3	8.0	10	ok		
Cluster_4_muOR_6QZH_0476_2.pdb	Cluster_4_muOR_6QZH_0476_2.pdb	-58.3778	0.649184	1.14478	0.474622	2252.5	3	8.0	10	ok		
Cluster_5_muOR_6QZH_0476.pdb	Cluster_5_muOR_6QZH_0476.pdb	-58.3778	0.649184	1.14478	0.474622	2252.5	3	8.0	10	ok		
Cluster_6_muOR_6QZH_0083.pdb	Cluster_6_muOR_6QZH_0083.pdb	-64.4556	0.599877	1.05416	0.437268	2271.39	4	8.0	11	ok		
Cluster_6_muOR_6QZH_0099.pdb	Cluster_6_muOR_6QZH_0099.pdb	-63.3331	0.675052	1.01704	0.481541	2319.33	1	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0072.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0072.pdb	-64.7324	0.670485	0.897321	0.569745	2341.28	5	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0083.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0083.pdb	-64.4556	0.599877	1.05416	0.437268	2271.39	4	8.0	11	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0099.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0099.pdb	-63.3331	0.675052	1.01704	0.481541	2319.33	1	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0133.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0133.pdb	-63.7497	0.602181	1.06135	0.440147	2366.49	2	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0225.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0225.pdb	-65.2238	0.64778	0.898009	0.47167	2333.33	5	8.0	11	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0457.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0457.pdb	-65.7122	0.673512	0.940907	0.50222	2334.91	3	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0492.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0492.pdb	-66.0725	0.669276	0.998784	0.508897	2347.89	3	8.0	13	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0510.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0510.pdb	-64.9784	0.665554	0.949672	0.607876	2352.25	5	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0512.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0512.pdb	-58.7864	0.573916	1.12947	0.480254	2341.97	3	8.0	10	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0534.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0534.pdb	-62.5724	0.691977	0.977206	0.515828	2339.52	6	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0608.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0608.pdb	-62.1694	0.641602	0.905524	0.457936	2388	3	8.0	11	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0627.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0627.pdb	-59.4479	0.540902	1.02431	0.42779	2413	4	8.0	10	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0651.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0651.pdb	-66.0468	0.674102	0.949295	0.494761	2333.34	3	8.0	13	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0742.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0742.pdb	-61.4545	0.625478	0.965422	0.484559	2365.94	2	8.0	11	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0828.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0828.pdb	-65.7474	0.67567	0.942558	0.464297	2341.46	3	8.0	12	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0833.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0833.pdb	-65.8266	0.674453	0.938224	0.5122	2342.75	3	8.0	13	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0876.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0876.pdb	-69.9429	0.696011	0.848668	0.489778	2360.3	7	8.0	9	ok		
non_preferred_rotamer_muOR_6QZH_binder_renum_0911.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0911.pdb	-62.944	0.56188	1.24338	0.435983	2423.48	1	8.0	13	ok		
res2_2_muOR_6QZH_0072.pdb	res2_2_muOR_6QZH_0072.pdb	-64.7324	0.670485	0.897321	0.569745	2341.28	5	8.0	12	ok		
res2_2_muOR_6QZH_0457.pdb	res2_2_muOR_6QZH_0457.pdb	-65.7122	0.673512	0.940907	0.50222	2334.91	3	8.0	12	ok		
res2_2_muOR_6QZH_0492.pdb	res2_2_muOR_6QZH_0492.pdb	-66.0725	0.669276	0.998784	0.508897	2347.89	3	8.0	13	ok		
res2_2_muOR_6QZH_0510.pdb	res2_2_muOR_6QZH_0510.pdb	-64.9784	0.665554	0.949672	0.607876	2352.25	5	8.0	12	ok		
res2_2_muOR_6QZH_0512.pdb	res2_2_muOR_6QZH_0512.pdb	-58.7864	0.573916	1.12947	0.480254	2341.97	3	8.0	10	ok		
res2_2_muOR_6QZH_0651.pdb	res2_2_muOR_6QZH_0651.pdb	-66.0468	0.674102	0.949295	0.494761	2333.34	3	8.0	13	ok		
res2_3_muOR_6QZH_0933.pdb	res2_3_muOR_6QZH_0933.pdb	-57.209	0.536363	1.37574	0.47715	2144.08	1	8.0	10	ok		
res2_muOR_6QZH_0072.pdb	res2_muOR_6QZH_0072.pdb	-64.7324	0.670485	0.897321	0.569745	2341.28	5	8.0	12	ok		
res2_muOR_6QZH_0457.pdb	res2_muOR_6QZH_0457.pdb	-65.7122	0.673512	0.940907	0.50222	2334.91	3	8.0	12	ok		
res2_muOR_6QZH_0492.pdb	res2_muOR_6QZH_0492.pdb	-66.0725	0.669276	0.998784	0.508897	2347.89	3	8.0	13	ok		
res2_muOR_6QZH_0510.pdb	res2_muOR_6QZH_0510.pdb	-64.9784	0.665554	0.949672	0.607876	2352.25	5	8.0	12	ok		
res2_muOR_6QZH_0512.pdb	res2_muOR_6QZH_0512.pdb	-58.7864	0.573916	1.12947	0.480254	2341.97	3	8.0	10	ok		
top_muOR_6QZH_0050.pdb	top_muOR_6QZH_0050.pdb	-59.9304	0.573505	0.99502	0.438453	2384.97	5	8.0	11	ok		
top_muOR_6QZH_0304.pdb	top_muOR_6QZH_0304.pdb	-69.0897	0.646436	1.02867	0.468353	2321.75	3	8.0	13	ok		
top_muOR_6QZH_0476.pdb	top_muOR_6QZH_0476.pdb	-58.3778	0.649184	1.14478	0.474622	2252.5	3	8.0	10	ok		
top_muOR_6QZH_0714.pdb	top_muOR_6QZH_0714.pdb	-64.6939	0.558007	1.09478	0.446925	2346.87	0	8.0	12	ok		
top_muOR_6QZH_0935.pdb	top_muOR_6QZH_0935.pdb	-69.985	0.658012	0.872194	0.473578	2355.93	3	8.0	12	ok		
Cluster_0_muOR_6QZH_0022.pdb	Cluster_0_muOR_6QZH_0022.pdb	-58.151	0.559032	1.26903	0.438881	2274.7	3	7.5	9	ok		
Cluster_0_muOR_6QZH_0022_2.pdb	Cluster_0_muOR_6QZH_0022_2.pdb	-58.151	0.559032	1.26903	0.438881	2274.7	3	7.5	9	ok		
Cluster_0_muOR_6QZH_0022_3.pdb	Cluster_0_muOR_6QZH_0022_3.pdb	-58.151	0.559032	1.26903	0.438881	2274.7	3	7.5	9	ok		
Cluster_0_muOR_6QZH_0041.pdb	Cluster_0_muOR_6QZH_0041.pdb	-58.8211	0.577839	1.239	0.462786	2334.17	2	7.5	11	ok		
