basename	pdb_path	finalscore	n_events	status	error
Cluster_0_muOR_6QZH_0714.pdb	Cluster_0_muOR_6QZH_0714.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0742.pdb	Cluster_0_muOR_6QZH_0742.pdb	8.0	11	ok	
Cluster_0_muOR_6QZH_0935.pdb	Cluster_0_muOR_6QZH_0935.pdb	8.0	12	ok	
Cluster_1_muOR_6QZH_0050.pdb	Cluster_1_muOR_6QZH_0050.pdb	8.0	11	ok	
Cluster_1_muOR_6QZH_0099.pdb	Cluster_1_muOR_6QZH_0099.pdb	8.0	12	ok	
Cluster_1_muOR_6QZH_0133.pdb	Cluster_1_muOR_6QZH_0133.pdb	8.0	12	ok	
Cluster_1_muOR_6QZH_0225.pdb	Cluster_1_muOR_6QZH_0225.pdb	8.0	11	ok	
Cluster_1_muOR_6QZH_0225_2.pdb	Cluster_1_muOR_6QZH_0225_2.pdb	8.0	11	ok	
Cluster_1_muOR_6QZH_0304.pdb	Cluster_1_muOR_6QZH_0304.pdb	8.0	13	ok	
Cluster_1_muOR_6QZH_0316.pdb	Cluster_1_muOR_6QZH_0316.pdb	8.0	12	ok	
Cluster_1_muOR_6QZH_0316_2.pdb	Cluster_1_muOR_6QZH_0316_2.pdb	8.0	12	ok	
Cluster_2_muOR_6QZH_0083.pdb	Cluster_2_muOR_6QZH_0083.pdb	8.0	11	ok	
Cluster_2_muOR_6QZH_0304.pdb	Cluster_2_muOR_6QZH_0304.pdb	8.0	13	ok	
Cluster_2_muOR_6QZH_0458.pdb	Cluster_2_muOR_6QZH_0458.pdb	8.0	12	ok	
Cluster_2_muOR_6QZH_0458_2.pdb	Cluster_2_muOR_6QZH_0458_2.pdb	8.0	12	ok	
Cluster_2_muOR_6QZH_0768.pdb	Cluster_2_muOR_6QZH_0768.pdb	8.0	9	ok	
Cluster_3_muOR_6QZH_0458.pdb	Cluster_3_muOR_6QZH_0458.pdb	8.0	12	ok	
Cluster_3_muOR_6QZH_0714.pdb	Cluster_3_muOR_6QZH_0714.pdb	8.0	12	ok	
Cluster_4_muOR_6QZH_0476.pdb	Cluster_4_muOR_6QZH_0476.pdb	8.0	10	ok	
Cluster_4_muOR_6QZH_0476_2.pdb	Cluster_4_muOR_6QZH_0476_2.pdb	8.0	10	ok	
Cluster_5_muOR_6QZH_0476.pdb	Cluster_5_muOR_6QZH_0476.pdb	8.0	10	ok	
Cluster_6_muOR_6QZH_0083.pdb	Cluster_6_muOR_6QZH_0083.pdb	8.0	11	ok	
Cluster_6_muOR_6QZH_0099.pdb	Cluster_6_muOR_6QZH_0099.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0072.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0072.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0083.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0083.pdb	8.0	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0099.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0099.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0133.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0133.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0225.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0225.pdb	8.0	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0457.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0457.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0492.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0492.pdb	8.0	13	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0510.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0510.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0512.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0512.pdb	8.0	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0534.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0534.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0608.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0608.pdb	8.0	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0627.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0627.pdb	8.0	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0651.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0651.pdb	8.0	13	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0742.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0742.pdb	8.0	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0828.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0828.pdb	8.0	12	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0833.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0833.pdb	8.0	13	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0876.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0876.pdb	8.0	9	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0911.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0911.pdb	8.0	13	ok	
res2_2_muOR_6QZH_0072.pdb	res2_2_muOR_6QZH_0072.pdb	8.0	12	ok	
res2_2_muOR_6QZH_0457.pdb	res2_2_muOR_6QZH_0457.pdb	8.0	12	ok	
res2_2_muOR_6QZH_0492.pdb	res2_2_muOR_6QZH_0492.pdb	8.0	13	ok	
res2_2_muOR_6QZH_0510.pdb	res2_2_muOR_6QZH_0510.pdb	8.0	12	ok	
res2_2_muOR_6QZH_0512.pdb	res2_2_muOR_6QZH_0512.pdb	8.0	10	ok	
res2_2_muOR_6QZH_0651.pdb	res2_2_muOR_6QZH_0651.pdb	8.0	13	ok	
res2_3_muOR_6QZH_0933.pdb	res2_3_muOR_6QZH_0933.pdb	8.0	10	ok	
res2_muOR_6QZH_0072.pdb	res2_muOR_6QZH_0072.pdb	8.0	12	ok	
res2_muOR_6QZH_0457.pdb	res2_muOR_6QZH_0457.pdb	8.0	12	ok	
res2_muOR_6QZH_0492.pdb	res2_muOR_6QZH_0492.pdb	8.0	13	ok	
res2_muOR_6QZH_0510.pdb	res2_muOR_6QZH_0510.pdb	8.0	12	ok	
res2_muOR_6QZH_0512.pdb	res2_muOR_6QZH_0512.pdb	8.0	10	ok	
top_muOR_6QZH_0050.pdb	top_muOR_6QZH_0050.pdb	8.0	11	ok	
top_muOR_6QZH_0304.pdb	top_muOR_6QZH_0304.pdb	8.0	13	ok	
top_muOR_6QZH_0476.pdb	top_muOR_6QZH_0476.pdb	8.0	10	ok	
top_muOR_6QZH_0714.pdb	top_muOR_6QZH_0714.pdb	8.0	12	ok	
top_muOR_6QZH_0935.pdb	top_muOR_6QZH_0935.pdb	8.0	12	ok	
Cluster_0_muOR_6QZH_0022.pdb	Cluster_0_muOR_6QZH_0022.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0022_2.pdb	Cluster_0_muOR_6QZH_0022_2.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0022_3.pdb	Cluster_0_muOR_6QZH_0022_3.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0041.pdb	Cluster_0_muOR_6QZH_0041.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0041_2.pdb	Cluster_0_muOR_6QZH_0041_2.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0052.pdb	Cluster_0_muOR_6QZH_0052.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0052_2.pdb	Cluster_0_muOR_6QZH_0052_2.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0101.pdb	Cluster_0_muOR_6QZH_0101.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0101_2.pdb	Cluster_0_muOR_6QZH_0101_2.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0107.pdb	Cluster_0_muOR_6QZH_0107.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0107_2.pdb	Cluster_0_muOR_6QZH_0107_2.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0135.pdb	Cluster_0_muOR_6QZH_0135.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0135_2.pdb	Cluster_0_muOR_6QZH_0135_2.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0135_3.pdb	Cluster_0_muOR_6QZH_0135_3.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0140.pdb	Cluster_0_muOR_6QZH_0140.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0140_2.pdb	Cluster_0_muOR_6QZH_0140_2.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0140_3.pdb	Cluster_0_muOR_6QZH_0140_3.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0223.pdb	Cluster_0_muOR_6QZH_0223.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0223_2.pdb	Cluster_0_muOR_6QZH_0223_2.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0249.pdb	Cluster_0_muOR_6QZH_0249.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0256.pdb	Cluster_0_muOR_6QZH_0256.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0256_2.pdb	Cluster_0_muOR_6QZH_0256_2.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0271.pdb	Cluster_0_muOR_6QZH_0271.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0271_2.pdb	Cluster_0_muOR_6QZH_0271_2.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0271_3.pdb	Cluster_0_muOR_6QZH_0271_3.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0362.pdb	Cluster_0_muOR_6QZH_0362.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0362_2.pdb	Cluster_0_muOR_6QZH_0362_2.pdb	7.5	10	ok	
Cluster_0_muOR_6QZH_0501.pdb	Cluster_0_muOR_6QZH_0501.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0501_2.pdb	Cluster_0_muOR_6QZH_0501_2.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0503.pdb	Cluster_0_muOR_6QZH_0503.pdb	7.5	11	ok	
Cluster_0_muOR_6QZH_0543.pdb	Cluster_0_muOR_6QZH_0543.pdb	7.5	9	ok	
Cluster_0_muOR_6QZH_0659.pdb	Cluster_0_muOR_6QZH_0659.pdb	7.5	12	ok	
Cluster_1_muOR_6QZH_0101.pdb	Cluster_1_muOR_6QZH_0101.pdb	7.5	10	ok	
Cluster_1_muOR_6QZH_0249.pdb	Cluster_1_muOR_6QZH_0249.pdb	7.5	10	ok	
Cluster_1_muOR_6QZH_0256.pdb	Cluster_1_muOR_6QZH_0256.pdb	7.5	10	ok	
Cluster_1_muOR_6QZH_0287.pdb	Cluster_1_muOR_6QZH_0287.pdb	7.5	9	ok	
Cluster_1_muOR_6QZH_0287_2.pdb	Cluster_1_muOR_6QZH_0287_2.pdb	7.5	9	ok	
Cluster_1_muOR_6QZH_0303.pdb	Cluster_1_muOR_6QZH_0303.pdb	7.5	10	ok	
Cluster_1_muOR_6QZH_0336.pdb	Cluster_1_muOR_6QZH_0336.pdb	7.5	11	ok	
Cluster_1_muOR_6QZH_0336_2.pdb	Cluster_1_muOR_6QZH_0336_2.pdb	7.5	11	ok	
Cluster_1_muOR_6QZH_0460.pdb	Cluster_1_muOR_6QZH_0460.pdb	7.5	9	ok	
Cluster_1_muOR_6QZH_0460_2.pdb	Cluster_1_muOR_6QZH_0460_2.pdb	7.5	9	ok	
Cluster_1_muOR_6QZH_0501.pdb	Cluster_1_muOR_6QZH_0501.pdb	7.5	9	ok	
Cluster_1_muOR_6QZH_0503.pdb	Cluster_1_muOR_6QZH_0503.pdb	7.5	11	ok	
Cluster_1_muOR_6QZH_0588.pdb	Cluster_1_muOR_6QZH_0588.pdb	7.5	11	ok	
Cluster_1_muOR_6QZH_0659.pdb	Cluster_1_muOR_6QZH_0659.pdb	7.5	12	ok	
Cluster_1_muOR_6QZH_0762.pdb	Cluster_1_muOR_6QZH_0762.pdb	7.5	11	ok	
Cluster_1_muOR_6QZH_0766.pdb	Cluster_1_muOR_6QZH_0766.pdb	7.5	13	ok	
Cluster_1_muOR_6QZH_0824.pdb	Cluster_1_muOR_6QZH_0824.pdb	7.5	10	ok	
Cluster_2_muOR_6QZH_0098.pdb	Cluster_2_muOR_6QZH_0098.pdb	7.5	10	ok	
Cluster_2_muOR_6QZH_0098_2.pdb	Cluster_2_muOR_6QZH_0098_2.pdb	7.5	10	ok	
Cluster_2_muOR_6QZH_0128.pdb	Cluster_2_muOR_6QZH_0128.pdb	7.5	11	ok	
Cluster_2_muOR_6QZH_0151.pdb	Cluster_2_muOR_6QZH_0151.pdb	7.5	10	ok	
Cluster_2_muOR_6QZH_0287.pdb	Cluster_2_muOR_6QZH_0287.pdb	7.5	9	ok	
Cluster_2_muOR_6QZH_0588.pdb	Cluster_2_muOR_6QZH_0588.pdb	7.5	11	ok	
Cluster_2_muOR_6QZH_0755.pdb	Cluster_2_muOR_6QZH_0755.pdb	7.5	11	ok	
Cluster_2_muOR_6QZH_0780.pdb	Cluster_2_muOR_6QZH_0780.pdb	7.5	10	ok	
Cluster_3_muOR_6QZH_0098.pdb	Cluster_3_muOR_6QZH_0098.pdb	7.5	10	ok	
Cluster_3_muOR_6QZH_0128.pdb	Cluster_3_muOR_6QZH_0128.pdb	7.5	11	ok	
Cluster_3_muOR_6QZH_0151.pdb	Cluster_3_muOR_6QZH_0151.pdb	7.5	10	ok	
Cluster_6_muOR_6QZH_0303.pdb	Cluster_6_muOR_6QZH_0303.pdb	7.5	10	ok	
Cluster_6_muOR_6QZH_0612.pdb	Cluster_6_muOR_6QZH_0612.pdb	7.5	10	ok	
Cluster_7_muOR_6QZH_0612.pdb	Cluster_7_muOR_6QZH_0612.pdb	7.5	10	ok	
cluster_represent_muOR_6QZH_0588.pdb	cluster_represent_muOR_6QZH_0588.pdb	7.5	11	ok	
new_backbone_good_muOR_6QZH_0588.pdb	new_backbone_good_muOR_6QZH_0588.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0041.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0041.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0052.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0052.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0107.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0107.pdb	7.5	9	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0128.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0128.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0151.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0151.pdb	7.5	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0223.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0223.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0249.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0249.pdb	7.5	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0303.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0303.pdb	7.5	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0336.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0336.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0362.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0362.pdb	7.5	10	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0460.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0460.pdb	7.5	9	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0503.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0503.pdb	7.5	11	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0543.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0543.pdb	7.5	9	ok	
non_preferred_rotamer_muOR_6QZH_binder_renum_0555.pdb	non_preferred_rotamer_muOR_6QZH_binder_renum_0555.pdb	7.5	10	ok	
